date,columna1,columna2,columna3,columna4,columna5,columna6,columna7,columna8,columna9,columna10,columna11,columna12,columna13,columna14,columna15,columna16,columna17,columna18,columna19,columna20,columna21,columna22,columna23,columna24,columna25,columna26,columna27,columna28,columna29,columna30,columna31,columna32,columna33
2017-08-01,5074818674,3789683296,527346837,169708256,30544085,15404523,12663701,40793613,35604705,27820847,73465488,7987526,26506549,9901071,31936443,45010030,590152469,302059998,229572578,34127531,38359889,1266878136,124921541,779142597,362813998,236745150,26824996,99243852,216496645,65644201,50496287,15147914,876535905
2017-08-02,2409449664,2009169346,455331433,148584181,42562320,19674341,12081273,41002012,37261510,26577778,41889512,19132356,33028924,8726373,16227913,8582940,183831996,66354122,37307826,7807664,21238632,1100812500,112740652,651753625,336318223,214148905,15478204,106691114,56992210,87833414,45603797,42229617,91728516
2017-08-03,2751646236,2144721642,528656043,162156930,19914756,19883911,28393403,49633627,39060378,28997873,45032498,11536601,66354265,8732105,27263337,21696359,443483497,94715067,29587678,46717071,18410318,1131370833,110966719,699984993,320419121,213883517,14282075,92253529,51019046,58318160,46494594,11823566,104318091
2017-08-04,2947296883,2497207349,577818880,206260637,44974031,23957058,20249413,51398631,28180400,43678581,53369621,18384807,43150971,11185308,22841027,10188395,282937461,90250559,51195963,14868016,24186580,1267345549,133671436,785386888,348287225,239404630,16993720,91888875,70965221,62901493,49620856,13280637,222404984
2017-08-05,966379961,858034842,99704081,47159554,2815298,2923115,4681315,5789930,4359998,4330548,5744068,5558495,1899010,1157891,750404,12534455,44418107,14011113,11727532,434003,1849578,575905410,12405927,220039967,343459516,263228651,11115605,69115260,21468787,54161900,40480311,13681589,39988541
2017-08-06,339110927,309836346,36123350,19568711,119421,643394,3120379,893578,1071035,2944895,2653561,2743805,60064,1553871,488276,262360,6613849,1392076,999670,147633,244773,148563252,5670950,63535204,79357098,48721061,9076458,21559579,27444086,51151150,38454130,12697020,6626048
2017-08-07,2811773614,2270983254,482804905,164315908,22775187,19821615,13804847,44098482,25494163,35318037,37832752,19112122,27392298,9883137,15206945,47749412,255364063,61749484,20685914,14194473,26869097,1252275300,141231583,751954351,359089366,242016825,19156349,97916192,116945142,68778362,56523298,12255064,79844609
2017-08-08,2646075543,2180398552,421846615,154769212,39943771,14373186,13120063,35538843,30731852,29085079,40516600,9545587,26190096,6346066,11343020,10343240,261997819,116960465,85596157,10409762,20954546,1198652579,132913155,740684594,325054830,205525965,21422645,98106220,52605861,58570647,46298151,12272496,136394131
2017-08-09,2531284713,2062729804,367062187,155390945,32217842,15820766,8616661,39009156,8924613,24919921,23623107,8932664,18735553,7444706,10580095,12846158,318405065,57317483,22825154,10156195,24336134,1136831426,117740117,705484827,313606482,201695357,14351778,97559347,78003687,57765291,45509397,12255894,59132880
2017-08-10,2976853500,2557482254,550713992,178060875,35302803,17992639,33612175,50361086,34792330,52925846,41597113,11731642,30030707,6410866,12326728,45569182,254785613,99032740,49682185,26083171,23267384,1515160637,127840701,993421924,393898012,221948261,14986356,156963395,70496162,55986570,43618298,12368272,76121088
2017-08-11,2657531783,2293401130,570034843,248608598,53730992,17637271,31984098,47213335,26286840,37661543,34059307,13486202,23366316,8780263,10403573,16816505,218921395,60914705,33442103,10237384,17235218,1320630278,151271271,819030927,350328080,241514950,16182125,92631005,100315926,65282650,51387593,13895057,49847369
2017-08-12,871233290,834915277,124338049,61844061,37201662,1679252,4105402,1377809,2137646,2287176,1216317,5864143,1267690,1108954,36037,4211900,8897742,2033201,1374217,187093,471891,548088830,8080677,221409877,318598276,246047831,10606906,61943539,20638631,56715138,42949520,13765618,35878125
2017-08-13,338306532,297794896,38289111,21420477,74028,1032881,2790233,970445,901342,2852541,2417214,3168102,750397,1146846,618302,146303,9502601,1564108,1284126,73785,206197,134077404,2900496,56943410,74233498,45280161,8587457,20365880,20058224,53314943,39981316,13333627,13018308
2017-08-14,2235270867,1874945684,381398438,165144230,14907020,19410954,13061291,41374979,24799186,33674369,21514788,7088425,13045232,8331672,7948600,11097692,168337453,67864397,53002499,3388618,11473280,1122123526,104780631,629617065,387725830,276739075,18000539,92986216,56197410,68120591,55497343,12623248,55958417
2017-08-15,1285517355,1141849000,208392335,52170859,2728941,4032479,22612614,25644199,4429301,41720609,25040594,7903233,13587466,2202971,2793140,3525929,45919239,20908162,5781624,6161317,8965221,580139614,67902056,382855275,129382283,72253524,25230029,31898730,65378160,54971126,41482098,13489028,70293693
2017-08-16,2398096815,2052275493,425814872,185946602,34048025,16267918,14135987,40932624,27736928,26600458,30444811,6048174,22514164,4811645,8021438,8306098,191162277,50072528,25486210,8337321,16248997,1178777132,108453630,728842981,341480521,227847716,21588027,92044778,58546756,64409041,51886243,12522798,158850493
2017-08-17,2113203041,1827390630,435219409,159763549,27558958,15175909,16317203,36169816,38397149,23612314,25077535,9066256,27551672,4551115,10243044,41734889,141292906,51418477,26572504,2998193,21847780,1087126001,118306960,667202512,301616529,205021502,14044478,82550549,48612657,57822627,46151834,11670793,35306877
2017-08-18,2440415704,2156530243,490322367,207704755,34539748,13542757,21483471,38542073,23467168,26650630,33042047,11112028,21353404,4997196,12177393,41709697,140898085,44099955,18541495,9192982,16365478,1146925916,118488937,719197924,309239055,214682593,16785905,77770557,47500850,60771230,48125858,12645372,242669072
2017-08-19,912419058,873509787,117800130,47671166,40299943,2163888,2919861,2043300,1793652,2286818,3244405,7458628,1855474,756464,348685,4957846,8122595,1663971,1056642,199262,408067,514393173,7868398,204434523,302090252,235532942,9965833,56591477,17363701,53737866,40911458,12826408,127743067
2017-08-20,573058005,517909241,69879037,34194310,80513,591221,7140978,4522555,263448,12120975,4733831,2254584,1954148,714819,606991,700664,16664532,8777205,4440196,1218568,3118441,301481911,3641532,222219347,75621032,44009268,9354098,22257666,23723844,52530624,39627143,12903481,7615318
2017-08-21,2497569577,2131894808,509211979,186720691,49725915,24807686,15884343,52608719,21767400,31327894,43255919,9112589,40360707,5627212,15617820,12395084,154578496,54012637,21553079,10357268,22102290,1178197376,114582003,718820869,344794504,232302637,20735710,91756157,63626430,65832098,53705949,12126149,118080746
2017-08-22,2837657859,2387591953,526703329,165794954,34768962,13078526,14499054,44322790,28792637,30161533,36694659,8946516,53723862,5102403,48358606,42458827,316123808,43202546,20991842,6571444,15639260,1181408103,160079417,718856746,302471940,197348488,16690957,88432495,95195889,56006706,45017457,10989249,135282999
2017-08-23,2266200431,1987412621,476800983,146418015,37218622,17628104,15349982,42114534,32027588,28935510,35699175,10651447,60827421,5138967,14177607,30614011,140390757,50186591,15110411,13438432,21637748,1087634891,157419226,646688620,283527045,178796556,14058209,90672280,48940189,52125576,40957221,11168355,79456679
2017-08-24,2418639319,2113093421,491627415,165812468,34610472,16821807,18130632,45298744,32628725,29258432,39474081,7130467,71114426,6349170,13140623,11857368,169239812,53618550,25133211,5855364,22629975,1142557743,140138906,686548262,315870575,211124903,17146949,87598723,189445601,56383302,44772973,11610329,43145246
2017-08-25,2920288178,2419450079,679178324,223547055,75356653,22762759,23917348,55965719,29661331,52974958,68069321,15317558,62948071,8679760,29061945,10915846,284730491,85725443,36784341,14612139,34328963,1284813601,148225517,829278750,307309334,203813632,15604293,87891409,70447828,59798117,46392904,13405213,62340566
2017-08-26,788346945,740338374,97151744,51133471,10047409,2269492,4701668,1920694,626689,4522799,2472173,8551659,7831284,780969,170661,2122776,17634813,3563936,2574644,293640,695652,481422501,5635590,193639180,282147731,211678121,9994762,60474848,15981766,51417502,38554512,12862990,51143500
2017-08-27,312846546,287129300,39730991,21765909,335931,654754,2714768,933738,391764,1865729,3468396,2567527,3654402,1007727,285181,85165,4849634,1355991,892825,20714,442452,127248443,2885264,60042564,64320615,32991308,10839799,20489508,26682236,47826571,34446519,13380052,7820115
2017-08-28,3033093513,2558048321,630007581,171804902,22498147,25555793,24175937,70554964,29035261,41289883,69171174,14029001,63992675,8715704,42334478,46849662,166676908,91240662,31986885,30310342,28943435,1321785907,162451087,822943464,336391356,234845573,14090263,87455520,73742288,60283455,45566817,14716638,166450604
